brand_and_product_name,package_size_weight
chef's_finest_thai_basil_baked_fish_frozen,330g
chef's_finest_vietnamese_lemongrass_baked_chicken_with_rice_and_string_beans_and_carrots,310g
chew's_30%_lower_cholesterol_brown_shell_fresh_eggs_contain_cordycepin_plus_vitamin_e,330g/_6_eggs
chew's_cage-free_fresh_eggs,330g
chew's_corn_+_soya_fresh_eggs,500g
chew's_extra_large_fresh_eggs,400g
chew's_extra_large_sakura_fresh_eggs,400g
chew's_food_chicken_stock_concentrate,2kg
chew's_food_chicken_stock_concentrate_required_reconstitution,0.5kg
chew's_fresh_eggs,600g
chew's_fresh_eggs_contain_cordycepin,330g
chew's_mrs_egg,495g
chew's_newly_laid_fresh_brown_shell_eggs,400g
chew's_newly_laid_fresh_white_shell_eggs,400g
chew's_organic_selenium_fresh_eggs,550g
chew's_sakura_fresh_eggs,550g
chew's_singapore_fresh_eggs_with_omega_3,550g
chew's_singapore_fresh_eggs_with_omega_3,600g
